,heatingType,newlyConst,balcony,pricetrend,yearConstructed,hasKitchen,cellar,livingSpace,condition,interiorQual,petsAllowed,lift,typeOfFlat,geo_plz,noRooms,thermalChar,floor,garden,city,SizePerRoom
110823,unknown,False,True,1.66,1961.0,False,True,66.38,unknown,unknown,unknown,False,unknown,58089,3.0,142.7,4.0,False,Hagen,22.126666666666665
213044,central_heating,False,False,8.28,1902.0,False,False,55.0,well_kept,normal,unknown,False,apartment,10553,2.0,120.0,3.0,False,Berlin,27.5
184265,central_heating,False,False,4.47,1890.0,False,False,29.0,modernized,normal,unknown,False,apartment,68159,2.0,143.9,4.0,False,Mannheim,14.5
204639,district_heating,False,True,4.0,1974.0,True,True,116.0,modernized,sophisticated,negotiable,True,apartment,41460,4.0,164.0,13.0,False,Neuss_Rhein_Kreis,29.0
160598,central_heating,False,False,2.97,1991.0,False,True,39.12,fully_renovated,normal,negotiable,False,ground_floor,1896,2.0,126.0,0.0,True,Bautzen_Kreis,19.56
53077,central_heating,False,False,3.23,1995.0,False,True,75.09,unknown,simple,negotiable,False,apartment,46147,3.0,123.0,1.0,False,Oberhausen,25.03
24652,self_contained_central_heating,False,True,4.61,1956.0,False,True,50.0,well_kept,normal,no,False,unknown,90459,2.0,182.8,1.0,False,Nürnberg,25.0
59701,unknown,False,False,1.93,1922.0,False,False,64.32,unknown,unknown,unknown,False,unknown,2625,3.0,134.3,3.0,False,Bautzen_Kreis,21.439999999999998
8897,central_heating,False,False,2.99,1954.0,False,True,45.0,well_kept,normal,negotiable,False,apartment,44263,2.0,161.5,2.0,True,Dortmund,22.5
23068,central_heating,False,True,6.11,1979.0,False,False,21.47,well_kept,normal,unknown,False,terraced_flat,94036,1.0,194.0,4.0,False,Passau,21.47
162290,unknown,False,True,1.75,1962.0,False,True,57.7,refurbished,normal,unknown,False,unknown,1917,3.0,82.0,2.0,True,Bautzen_Kreis,19.233333333333334
182211,central_heating,False,True,0.31,1995.0,False,True,60.72,modernized,normal,negotiable,False,apartment,6886,3.0,128.0,2.0,False,Wittenberg_Kreis,20.24
12476,gas_heating,False,True,0.0,1995.0,False,True,43.83,well_kept,normal,negotiable,True,apartment,18356,1.0,133.5,1.0,False,Nordvorpommern_Kreis,43.83
260170,central_heating,False,False,2.35,1952.0,False,True,71.79,unknown,unknown,unknown,False,apartment,52066,3.0,166.0,2.0,False,Aachen,23.930000000000003
118525,central_heating,False,False,2.76,1960.0,False,True,57.0,refurbished,normal,negotiable,False,apartment,4552,3.0,186.0,2.0,True,Leipzig_Kreis,19.0
164561,central_heating,False,False,4.38,1913.0,False,False,79.0,mint_condition,unknown,unknown,True,apartment,4317,2.0,72.6,1.0,False,Leipzig,39.5
92401,district_heating,False,True,3.57,1975.0,False,False,63.17,mint_condition,unknown,unknown,False,apartment,19061,2.0,43.0,4.0,False,Schwerin,31.585
32458,central_heating,False,True,1.89,1904.0,False,True,78.0,refurbished,normal,unknown,False,maisonette,7548,2.5,124.6,3.0,False,Gera,31.2
198331,central_heating,False,False,4.0,1983.0,True,True,87.0,refurbished,normal,no,True,apartment,41460,3.0,156.8,3.0,False,Neuss_Rhein_Kreis,29.0
123721,floor_heating,False,True,3.83,1965.0,True,True,135.0,mint_condition,sophisticated,negotiable,False,roof_storey,45219,4.0,76.0,3.0,True,Essen,33.75
75460,gas_heating,False,True,3.21,1965.0,False,False,68.94,modernized,unknown,unknown,False,unknown,45149,3.0,112.2,3.0,False,Essen,22.98
49841,district_heating,False,True,0.0,1957.0,False,True,65.0,refurbished,normal,negotiable,False,apartment,9117,3.0,103.0,0.0,True,Chemnitz,21.666666666666668
140123,central_heating,False,False,5.7,1968.0,False,False,75.0,unknown,unknown,negotiable,False,unknown,90403,3.0,256.0,2.0,False,Nürnberg,25.0
7911,central_heating,False,False,1.35,1935.0,False,False,58.54,modernized,normal,unknown,False,other,6618,2.0,96.8,1.0,False,Burgenlandkreis,29.27
7762,self_contained_central_heating,False,True,2.97,1950.0,False,True,75.0,fully_renovated,normal,no,False,apartment,41236,3.0,64.3,3.0,False,Mönchengladbach,25.0
223534,district_heating,False,True,3.25,1940.0,True,True,61.91,refurbished,unknown,unknown,False,ground_floor,14770,2.0,94.0,0.0,False,Brandenburg_an_der_Havel,30.955
163504,central_heating,True,True,8.75,2018.0,False,True,76.0,first_time_use,luxury,negotiable,True,ground_floor,10115,2.0,79.29,0.0,False,Berlin,38.0
85716,central_heating,False,False,2.18,1930.0,False,True,50.0,fully_renovated,unknown,unknown,False,apartment,7545,2.0,227.5,2.0,False,Gera,25.0
171339,central_heating,False,True,3.17,1992.0,False,False,70.59,fully_renovated,normal,no,True,unknown,46535,3.0,112.7,4.0,False,Wesel_Kreis,23.53
76751,unknown,False,True,0.79,1960.0,False,True,59.52,well_kept,normal,negotiable,True,apartment,38444,2.0,167.2,6.0,False,Wolfsburg,29.76
240880,central_heating,False,True,5.16,1960.0,True,False,100.0,well_kept,normal,no,False,roof_storey,69120,4.0,169.0,2.0,True,Heidelberg,25.0
220739,central_heating,False,True,2.19,1996.0,False,True,55.1,unknown,normal,unknown,False,roof_storey,1157,2.0,100.0,2.0,False,Dresden,27.55
70479,central_heating,False,True,2.74,1971.0,False,True,48.35,unknown,unknown,unknown,False,apartment,1237,2.0,96.0,4.0,False,Dresden,24.175
150273,gas_heating,False,True,4.64,1990.0,False,True,51.0,first_time_use_after_refurbishment,normal,negotiable,False,maisonette,69469,2.0,114.0,2.0,True,Rhein_Neckar_Kreis,25.5
68688,heat_pump,True,True,2.97,2018.0,False,True,101.0,mint_condition,unknown,unknown,True,ground_floor,51399,4.0,14.3,0.0,True,Rheinisch_Bergischer_Kreis,25.25
209128,central_heating,False,True,3.58,1963.0,False,True,75.31,unknown,unknown,unknown,False,apartment,44339,4.0,82.0,1.0,False,Dortmund,18.8275
248057,floor_heating,False,True,5.05,2013.0,False,False,83.7,mint_condition,luxury,no,False,roof_storey,56598,3.0,57.7,2.0,False,Neuwied_Kreis,27.900000000000002
50879,district_heating,False,False,4.03,1959.0,True,True,82.0,modernized,sophisticated,negotiable,False,apartment,45138,3.0,79.3,3.0,False,Essen,27.333333333333332
7770,oil_heating,False,True,3.92,1968.0,False,True,62.0,unknown,unknown,unknown,False,apartment,16818,3.0,168.0,3.0,False,Ostprignitz_Ruppin_Kreis,20.666666666666668
91604,central_heating,False,False,0.0,1956.0,False,True,84.6,well_kept,normal,unknown,False,apartment,3044,4.0,115.0,1.0,False,Cottbus,21.15
250318,central_heating,False,True,4.34,1992.0,True,True,197.39,modernized,sophisticated,no,True,penthouse,68165,4.5,137.0,4.0,True,Mannheim,43.864444444444445
69832,district_heating,False,True,-0.89,1978.0,False,False,76.11,modernized,unknown,unknown,False,unknown,17034,4.0,123.3,5.0,False,Neubrandenburg,19.0275
264733,oil_heating,False,True,8.74,1929.0,False,True,176.0,unknown,unknown,unknown,True,apartment,14052,6.0,120.0,1.0,False,Berlin,29.333333333333332
259284,central_heating,False,False,5.36,2017.0,True,False,21.81,unknown,normal,unknown,True,unknown,4317,1.0,65.0,2.0,False,Leipzig,21.81
142477,district_heating,False,False,2.79,1979.0,False,True,80.0,fully_renovated,unknown,yes,False,apartment,47799,3.0,76.0,3.0,False,Krefeld,26.666666666666668
16538,central_heating,False,True,0.74,1900.0,False,False,43.83,modernized,normal,unknown,False,ground_floor,1589,1.0,97.0,0.0,False,Meißen_Kreis,43.83
178889,central_heating,False,True,1.72,1920.0,False,True,79.0,refurbished,unknown,negotiable,False,apartment,39122,3.0,210.0,2.0,False,Magdeburg,26.333333333333332
184879,floor_heating,False,True,0.57,1952.0,False,True,71.0,refurbished,unknown,negotiable,False,unknown,9126,3.0,112.0,1.0,True,Chemnitz,23.666666666666668
158422,district_heating,False,True,0.0,1988.0,False,True,54.8,well_kept,normal,no,False,unknown,9212,2.0,64.0,4.0,False,Zwickau_Kreis,27.4
60983,central_heating,False,True,1.65,1973.0,False,False,66.61,well_kept,unknown,no,False,apartment,6122,4.0,90.0,3.0,False,Halle_Saale,16.6525
18375,central_heating,False,False,0.79,1996.0,False,True,88.21,mint_condition,sophisticated,unknown,False,maisonette,1619,2.5,89.4,1.0,False,Meißen_Kreis,35.284
147978,self_contained_central_heating,False,False,1.67,1956.0,False,True,43.0,unknown,normal,negotiable,False,roof_storey,58256,2.0,127.2,2.0,False,Ennepe_Ruhr_Kreis,21.5
67136,self_contained_central_heating,False,True,5.08,1906.0,True,True,100.0,well_kept,sophisticated,negotiable,False,apartment,31675,3.5,170.9,1.0,True,Schaumburg_Kreis,28.571428571428573
45173,self_contained_central_heating,False,False,1.06,1908.0,False,True,75.0,refurbished,normal,negotiable,False,roof_storey,8340,3.0,270.8,4.0,False,Erzgebirgskreis,25.0
182750,gas_heating,False,True,5.05,1935.0,False,True,50.0,modernized,normal,negotiable,False,raised_ground_floor,51105,2.0,188.7,1.0,True,Köln,25.0
172301,floor_heating,False,True,4.6,1975.0,True,True,63.0,unknown,sophisticated,negotiable,False,terraced_flat,40629,2.0,125.7,0.0,True,Düsseldorf,31.5
56058,district_heating,False,True,3.64,1982.0,False,True,60.73,first_time_use_after_refurbishment,unknown,negotiable,False,unknown,6484,3.0,136.0,4.0,False,Harz_Kreis,20.243333333333332
23097,central_heating,False,True,1.7,1900.0,False,True,75.47,well_kept,normal,negotiable,False,apartment,4600,2.0,108.1,2.0,False,Altenburger_Land_Kreis,37.735
247193,central_heating,False,True,2.8,1978.0,False,True,48.15,refurbished,normal,negotiable,False,apartment,4552,2.0,103.0,5.0,False,Leipzig_Kreis,24.075
125770,central_heating,False,False,3.39,1958.0,False,True,63.0,unknown,unknown,negotiable,False,apartment,19205,3.0,137.0,1.0,False,Nordwestmecklenburg_Kreis,21.0
107533,unknown,False,True,1.52,1977.0,False,True,57.17,unknown,unknown,unknown,False,apartment,8527,3.0,94.0,4.0,False,Plauen,19.05666666666667
48750,central_heating,False,True,4.55,1965.0,True,False,40.0,unknown,unknown,no,False,unknown,90443,1.0,143.0,1.0,False,Nürnberg,40.0
257335,central_heating,False,True,3.25,1977.0,False,True,58.21,unknown,normal,negotiable,False,unknown,14770,3.0,107.0,3.0,False,Brandenburg_an_der_Havel,19.403333333333332
